AdultStroopRT,AdultIncongRT,AdultCongRT,Item
-13.7749,398.2056,411.9806,1
-21.1465,406.3801,427.5265,2
-19.3486,396.4899,415.8385,3
7.7977,415.1498,407.3521,4
34.2405,459.2563,425.0158,5
23.5466,470.554,447.0074,6
67.3294,468.3989,401.0695,7
53.9076,438.1045,384.1968,8
10.1439,409.0923,398.9484,9
33.6743,434.4372,400.7629,10
12.7358,419.0181,406.2823,11
38.0892,457.0644,418.9752,12
54.102,473.8734,419.7714,13
34.4157,439.0774,404.6617,14
-8.1434,422.0922,430.2356,15
16.0245,418.2152,402.1907,16
31.103,422.787,391.684,17
54.6687,450.5205,395.8518,18
22.9184,435.4525,412.5341,19
-0.3641,410.9132,411.2774,20
