id,correctSide,trial,sub,condition,RT,correct,leftImage,rightImage,imagePair,imagePairCheck,category,categoryNum,sizeNum,
14christian36,1,16,1,2,2399,1,17_hotairballoon2,17_pinecone,17,17,Small-visBig,4,2,
14christian36,1,23,1,2,1302,1,05_wagon,05_button,5,5,Small-visBig,4,2,
14christian36,1,26,1,1,2615,1,05_button,05_wagon,5,5,Big-visBig,1,1,
14christian36,2,27,1,1,3434,1,03_sofachair,03_baseball 2,3,3,Big-visBig,1,1,
14christian36,2,32,1,1,1918,1,20_wheelchair,20_ornament,20,20,Big-visBig,1,1,
14christian36,2,34,1,1,1566,1,15_couch2,15_scotchtape,15,15,Big-visBig,1,1,
14christian36,2,35,1,2,2509,1,14_perfume,14_washingMachine,14,14,Small-visBig,4,2,
14christian36,1,37,1,1,2101,1,08_changepurse,08_uprightpiano,8,8,Big-visBig,1,1,
14christian36,2,38,1,2,2715,1,17_pinecone,17_hotairballoon2,17,17,Small-visBig,4,2,
14christian36,1,40,1,2,1552,1,02_carousel,02_seashell,2,2,Small-visBig,4,2,
14christian36,1,43,1,1,1820,1,03_baseball 2,03_sofachair,3,3,Big-visBig,1,1,
14christian36,1,44,1,2,1525,1,04_tractor11,04_camera,4,4,Small-visBig,4,2,
14christian36,2,45,1,1,1033,1,13_piano,13_rubberduck,13,13,Big-visBig,1,1,
14christian36,1,47,1,1,2050,1,19_garlic,19_refrigerator,19,19,Big-visBig,1,1,
40rhea36,2,15,2,2,2757,1,19_garlic,19_refrigerator,19,19,Small-visBig,4,2,
40rhea36,2,18,2,2,2498,1,02_seashell,02_carousel,2,2,Small-visBig,4,2,
90jason48stroop,2,11,3,1,1514,1,11_fountain13,11_controller,11,11,Big-visBig,1,1,
90jason48stroop,2,12,3,2,2524,1,15_scotchtape,15_couch2,15,15,Small-visBig,4,2,
90jason48stroop,1,13,3,1,1389,1,08_changepurse,08_uprightpiano,8,8,Big-visBig,1,1,
90jason48stroop,2,14,3,2,1677,1,08_changepurse,08_uprightpiano,8,8,Small-visBig,4,2,
90jason48stroop,1,15,3,2,2013,1,05_wagon,05_button,5,5,Small-visBig,4,2,
90jason48stroop,2,16,3,1,2339,1,08_uprightpiano,08_changepurse,8,8,Big-visBig,1,1,
90jason48stroop,1,17,3,1,2271,1,18_ringbox03,18_hotairballoon,18,18,Big-visBig,1,1,
90jason48stroop,2,18,3,2,1900,1,11_controller,11_fountain13,11,11,Small-visBig,4,2,
90jason48stroop,2,19,3,1,2219,1,16_garbagecan,16_clock,16,16,Big-visBig,1,1,
90jason48stroop,1,21,3,1,2954,1,05_button,05_wagon,5,5,Big-visBig,1,1,
90jason48stroop,2,22,3,1,1478,1,07_grill,07_dice,7,7,Big-visBig,1,1,
