id,correctSide,trial,sub,condition,RT,correct,leftImage,rightImage,imagePair,imagePairCheck,category,categoryNum,sizeNum
01autumn47,2,1,1,1,3176,1,09_armchair,09_mushroom,9,9,Big-visBig,1,1
01autumn47,1,2,1,2,2406,1,06_parthenon,06_cable,6,6,Small-visBig,4,2
01autumn47,1,3,1,1,2215,1,14_perfume,14_washingMachine,14,14,Big-visBig,1,1
01autumn47,2,4,1,2,1777,1,12_pencil sharpener 5,12_bookcase,12,12,Small-visBig,4,2
01autumn47,2,5,1,2,2098,1,02_seashell,02_carousel,2,2,Small-visBig,4,2
01autumn47,1,6,1,1,2041,1,15_scotchtape,15_couch2,15,15,Big-visBig,1,1
01autumn47,2,7,1,1,2593,1,04_tractor11,04_camera,4,4,Big-visBig,1,1
01autumn47,1,8,1,2,2427,1,13_piano,13_rubberduck,13,13,Small-visBig,4,2
01autumn47,2,9,1,2,1990,1,03_baseball 2,03_sofachair,3,3,Small-visBig,4,2
01autumn47,1,10,1,1,3021,1,06_cable,06_parthenon,6,6,Big-visBig,1,1
01autumn47,2,11,1,1,1970,1,12_bookcase,12_pencil sharpener 5,12,12,Big-visBig,1,1
01autumn47,1,12,1,2,1691,1,03_sofachair,03_baseball 2,3,3,Small-visBig,4,2
01autumn47,2,13,1,2,1735,1,19_garlic,19_refrigerator,19,19,Small-visBig,4,2
01autumn47,1,14,1,2,1665,1,10_bison,10_bowtiepasta,10,10,Small-visBig,4,2
01autumn47,2,15,1,1,1456,1,06_parthenon,06_cable,6,6,Big-visBig,1,1
01autumn47,1,16,1,1,1533,1,16_clock,16_garbagecan,16,16,Big-visBig,1,1
01autumn47,1,17,1,2,1402,1,19_refrigerator,19_garlic,19,19,Small-visBig,4,2
01autumn47,2,18,1,2,2060,0,14_perfume,14_washingMachine,14,14,Small-visBig,4,2
01autumn47,1,19,1,1,2026,1,08_changepurse,08_uprightpiano,8,8,Big-visBig,1,1
01autumn47,2,20,1,1,2423,1,20_wheelchair,20_ornament,20,20,Big-visBig,1,1
01autumn47,2,21,1,2,1600,1,13_rubberduck,13_piano,13,13,Small-visBig,4,2
01autumn47,1,22,1,2,1394,1,14_washingMachine,14_perfume,14,14,Small-visBig,4,2
01autumn47,2,23,1,1,1921,1,18_hotairballoon,18_ringbox03,18,18,Big-visBig,1,1
01autumn47,1,24,1,1,2080,0,02_seashell,02_carousel,2,2,Big-visBig,1,1
01autumn47,1,25,1,2,1547,1,08_uprightpiano,08_changepurse,8,8,Small-visBig,4,2
01autumn47,2,26,1,2,1663,1,11_controller,11_fountain13,11,11,Small-visBig,4,2
01autumn47,2,27,1,1,1603,1,17_hotairballoon2,17_pinecone,17,17,Big-visBig,1,1
01autumn47,1,28,1,1,1863,1,10_bowtiepasta,10_bison,10,10,Big-visBig,1,1
01autumn47,2,29,1,2,2099,1,01_apple,01_desk,1,1,Small-visBig,4,2
01autumn47,1,30,1,1,1669,1,20_ornament,20_wheelchair,20,20,Big-visBig,1,1
01autumn47,1,31,1,2,1823,1,16_garbagecan,16_clock,16,16,Small-visBig,4,2
