id,correctSide,trial,sub,condition,RT,correct,leftImage,rightImage,imagePair,imagePairCheck,category,categoryNum,sizeNum,
1_mayastroop,1,11,1,2,3228,1,11_fountain13,11_controller,11,11,Small-visBig,4,2,
1_mayastroop,1,12,1,1,1343,1,04_camera,04_tractor11,4,4,Big-visBig,1,1,
1_mayastroop,1,13,1,1,2783,1,12_pencil sharpener 5,12_bookcase,12,12,Big-visBig,1,1,
1_mayastroop,2,14,1,2,1325,1,04_camera,04_tractor11,4,4,Small-visBig,4,2,
1_mayastroop,2,15,1,1,3271,1,18_hotairballoon,18_ringbox03,18,18,Big-visBig,1,1,
1_mayastroop,1,16,1,2,3939,1,01_desk,01_apple,1,1,Small-visBig,4,2,
1_mayastroop,2,17,1,2,3097,1,19_garlic,19_refrigerator,19,19,Small-visBig,4,2,
1_mayastroop,1,18,1,2,3250,1,20_wheelchair,20_ornament,20,20,Small-visBig,4,2,
1_mayastroop,1,19,1,1,3679,1,10_bowtiepasta,10_bison,10,10,Big-visBig,1,1,
1_mayastroop,2,20,1,1,3997,1,19_refrigerator,19_garlic,19,19,Big-visBig,1,1,
1_mayastroop,1,21,1,1,2549,1,02_seashell,02_carousel,2,2,Big-visBig,1,1,
1_mayastroop,1,24,1,2,2965,1,12_bookcase,12_pencil sharpener 5,12,12,Small-visBig,4,2,
1_mayastroop,1,25,1,2,1816,1,13_piano,13_rubberduck,13,13,Small-visBig,4,2,
1_mayastroop,1,26,1,1,2359,1,01_apple,01_desk,1,1,Big-visBig,1,1,
1_mayastroop,2,27,1,2,1468,1,20_ornament,20_wheelchair,20,20,Small-visBig,4,2,
1_mayastroop,2,28,1,1,1415,1,12_bookcase,12_pencil sharpener 5,12,12,Big-visBig,1,1,
1_mayastroop,2,29,1,2,1050,1,11_controller,11_fountain13,11,11,Small-visBig,4,2,
1_mayastroop,2,30,1,1,1065,1,14_washingMachine,14_perfume,14,14,Big-visBig,1,1,
1_mayastroop,1,31,1,1,1938,1,05_button,05_wagon,5,5,Big-visBig,1,1,
1_mayastroop,1,32,1,2,2204,1,08_uprightpiano,08_changepurse,8,8,Small-visBig,4,2,
1_mayastroop,1,33,1,2,1920,1,19_refrigerator,19_garlic,19,19,Small-visBig,4,2,
1_mayastroop,2,34,1,1,1348,1,09_armchair,09_mushroom,9,9,Big-visBig,1,1,
1_mayastroop,1,35,1,1,2287,1,09_mushroom,09_armchair,9,9,Big-visBig,1,1,
1_mayastroop,2,36,1,2,3260,1,10_bowtiepasta,10_bison,10,10,Small-visBig,4,2,
1_mayastroop,2,37,1,1,1191,1,04_tractor11,04_camera,4,4,Big-visBig,1,1,
1_mayastroop,1,38,1,2,1754,1,16_garbagecan,16_clock,16,16,Small-visBig,4,2,
1_mayastroop,1,39,1,1,1214,1,11_controller,11_fountain13,11,11,Big-visBig,1,1,
1_mayastroop,2,40,1,2,1632,1,05_button,05_wagon,5,5,Small-visBig,4,2,
1_mayastroop,1,41,1,1,1603,1,18_ringbox03,18_hotairballoon,18,18,Big-visBig,1,1,
1_mayastroop,1,42,1,2,1466,1,14_washingMachine,14_perfume,14,14,Small-visBig,4,2,
1_mayastroop,2,43,1,1,1749,1,07_grill,07_dice,7,7,Big-visBig,1,1,
1_mayastroop,2,44,1,2,1697,1,13_rubberduck,13_piano,13,13,Small-visBig,4,2,
1_mayastroop,2,45,1,1,1383,1,15_couch2,15_scotchtape,15,15,Big-visBig,1,1,
1_mayastroop,2,46,1,2,1202,1,01_apple,01_desk,1,1,Small-visBig,4,2,
1_mayastroop,1,47,1,1,1249,1,20_ornament,20_wheelchair,20,20,Big-visBig,1,1,
1_mayastroop,1,48,1,2,2875,1,04_tractor11,04_camera,4,4,Small-visBig,4,2,
1_mayastroop,2,49,1,2,1343,1,14_perfume,14_washingMachine,14,14,Small-visBig,4,2,
1_mayastroop,1,50,1,1,1402,1,15_scotchtape,15_couch2,15,15,Big-visBig,1,1,
1_mayastroop,1,51,1,2,1594,1,10_bison,10_bowtiepasta,10,10,Small-visBig,4,2,
1_mayastroop,2,52,1,1,2011,1,16_garbagecan,16_clock,16,16,Big-visBig,1,1,
